id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
276692,TRUE,12/07/17 11:07,0,12/07/17 11:09,-162318,12/07/17 10:46,Transitime,2,2,422,278215,1017,00:20:50,-3,12/07/17,200,1250
203181,FALSE,11/07/17 12:14,0,11/07/17 12:14,12352,11/07/17 12:10,Transitime,2,2,440,278213,1017,00:04:03,0,11/07/17,100,243
204021,TRUE,11/07/17 12:15,0,11/07/17 12:17,-66929,11/07/17 11:53,Transitime,2,2,442,278213,1017,00:22:23,-1,11/07/17,100,1343
204022,FALSE,11/07/17 12:15,0,11/07/17 12:13,132609,11/07/17 12:06,Transitime,2,2,441,278213,1017,00:09:12,2,11/07/17,100,552
276693,FALSE,12/07/17 11:07,0,12/07/17 11:11,-245970,12/07/17 10:58,Transitime,2,2,422,278215,1017,00:08:30,-4,12/07/17,200,510
204309,FALSE,11/07/17 12:15,1,11/07/17 12:14,75332,11/07/17 12:10,Transitime,2,2,4648,278260,1008,00:05:09,1,11/07/17,100,309
363223,FALSE,13/07/17 11:33,0,13/07/17 11:27,355145,13/07/17 11:08,Transitime,2,2,6937,278215,2512,00:24:29,6,13/07/17,300,1469
204456,FALSE,11/07/17 12:17,0,11/07/17 12:16,12024,11/07/17 12:10,Transitime,2,2,445,278213,1017,00:06:18,0,11/07/17,100,378
204457,TRUE,11/07/17 12:17,0,11/07/17 12:16,41628,11/07/17 11:48,Transitime,2,2,446,278213,1017,00:28:28,1,11/07/17,100,1708
204458,TRUE,11/07/17 12:17,0,11/07/17 12:18,-83747,11/07/17 11:53,Transitime,2,2,446,278213,1017,00:23:52,-1,11/07/17,100,1432
204896,FALSE,11/07/17 12:18,0,11/07/17 12:16,107287,11/07/17 12:06,Transitime,2,2,448,278213,1017,00:11:42,2,11/07/17,100,702
374657,FALSE,,1,13/07/17 11:36,0,13/07/17 11:33,Transitime,2,2,478,278260,2906,12:26:52,0,30/12/99,Err:502,-3709107188
374659,FALSE,,1,13/07/17 11:38,0,13/07/17 11:37,Transitime,2,2,482,278260,2906,12:22:19,0,30/12/99,Err:502,-3709107461
374661,FALSE,,1,13/07/17 11:36,0,13/07/17 11:12,Transitime,2,2,538,278261,1522,12:47:19,0,30/12/99,Err:502,-3709105961
205742,TRUE,11/07/17 12:19,0,11/07/17 12:18,62579,11/07/17 11:57,Transitime,2,2,449,278213,1017,00:21:47,1,11/07/17,100,1307
