id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
383241,FALSE,,1,13/07/17 12:00,0,13/07/17 11:37,Transitime,2,2,523,278260,2906,12:22:19,0,30/12/99,Err:502,-3709107461
383414,TRUE,13/07/17 12:16,0,13/07/17 12:07,537247,13/07/17 11:37,Transitime,2,2,4481,278213,1522,00:38:37,9,13/07/17,300,2317
383415,FALSE,13/07/17 12:16,0,13/07/17 12:12,235043,13/07/17 12:02,Transitime,2,2,433,278213,1522,00:13:50,4,13/07/17,300,830
383416,TRUE,13/07/17 12:17,0,13/07/17 12:12,253066,13/07/17 11:46,Transitime,2,2,436,278213,1522,00:31:01,4,13/07/17,300,1861
383417,FALSE,13/07/17 12:17,0,13/07/17 12:17,-27341,13/07/17 12:17,Transitime,2,2,436,278213,1522,23:59:45,0,13/07/17,300,-15
383657,FALSE,13/07/17 12:16,1,13/07/17 12:16,-1387,13/07/17 11:54,Transitime,2,2,546,278260,1518,00:22:09,0,13/07/17,300,1329
384234,FALSE,13/07/17 12:17,0,13/07/17 12:14,201797,13/07/17 12:08,Transitime,2,2,438,278213,1522,00:09:09,3,13/07/17,300,549
384254,FALSE,13/07/17 12:17,0,13/07/17 12:17,28994,13/07/17 12:12,Transitime,2,2,439,278213,1522,00:05:12,0,13/07/17,300,312
384255,FALSE,13/07/17 12:18,0,13/07/17 12:15,192481,13/07/17 12:08,Transitime,2,2,440,278213,1522,00:09:59,3,13/07/17,300,599
384256,FALSE,13/07/17 12:18,0,13/07/17 12:18,-665,13/07/17 12:12,Transitime,2,2,440,278213,1522,00:05:26,0,13/07/17,300,326
384973,FALSE,,1,13/07/17 12:06,0,13/07/17 11:37,Transitime,2,2,7611,278260,2906,12:22:19,0,30/12/99,Err:502,-3709107461
384974,FALSE,,1,13/07/17 12:06,0,13/07/17 11:41,Transitime,2,2,7611,278260,2906,12:18:10,0,30/12/99,Err:502,-3709107710
384975,FALSE,,1,13/07/17 12:05,0,13/07/17 11:41,Transitime,2,2,7619,278260,2906,12:18:10,0,30/12/99,Err:502,-3709107710
384976,FALSE,,1,13/07/17 12:02,0,13/07/17 11:33,Transitime,2,2,528,278260,2906,12:26:52,0,30/12/99,Err:502,-3709107188
384977,FALSE,,1,13/07/17 12:02,0,13/07/17 11:41,Transitime,2,2,528,278260,2906,12:18:10,0,30/12/99,Err:502,-3709107710
385128,FALSE,13/07/17 12:19,0,13/07/17 12:13,396374,13/07/17 11:58,Transitime,2,2,443,278213,1522,00:21:23,7,13/07/17,300,1283
385129,FALSE,13/07/17 12:22,0,13/07/17 12:21,52057,13/07/17 12:12,Transitime,2,2,448,278213,1522,00:09:25,1,13/07/17,300,565
385130,FALSE,13/07/17 12:22,0,13/07/17 12:21,55551,13/07/17 12:12,Transitime,2,2,4482,278213,1522,00:09:45,1,13/07/17,300,585
385959,FALSE,13/07/17 12:23,0,13/07/17 12:19,238466,13/07/17 12:02,Transitime,2,2,453,278213,1522,00:20:54,4,13/07/17,300,1254
385960,FALSE,13/07/17 12:23,0,13/07/17 12:22,46932,13/07/17 12:12,Transitime,2,2,453,278213,1522,00:10:43,1,13/07/17,300,643
