shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
13333,-23.562443412227445,-70.3938927603296,121,750659694.6429647
13333,-23.562347965862898,-70.39294704932979,122,756963884.4619604
13333,-23.562320481079652,-70.39137101582037,123,763267994.1780726
13333,-23.562341423852807,-70.39118153610582,124,769571959.2544694
13333,-23.562635247146538,-70.39113142089161,125,775875845.066912
13333,-23.563259174000926,-70.39108470262352,126,782179704.2007446
13333,-23.564942719417793,-70.39096512876336,127,788483498.6935674
13333,-23.566228948576683,-70.39090187128761,128,794787141.6294218
13333,-23.567237278931877,-70.3908746636676,129,801090534.362425
13333,-23.569154942689963,-70.39083751570683,130,807393737.5986388
13333,-23.570816573671166,-70.39075165740638,131,813696743.828483
13333,-23.571319256120344,-70.39081820773009,132,819999459.8796027
13333,-23.57205668234071,-70.39097425231432,133,826301972.6692078
13333,-23.572357382596593,-70.3910379943461,134,832604412.8649223
13333,-23.572856545381654,-70.3911138168317,135,838906770.356575
13333,-23.57332398040797,-70.39120858968045,136,845209081.6755722
13333,-23.57387997031351,-70.39116360534041,137,851511328.2373289
13333,-23.574766650741804,-70.39111263699374,138,857813500.2826787
13333,-23.575376608990464,-70.39108009582822,139,864115567.4862686
13333,-23.576517543049878,-70.39099943152013,140,870417506.3779795
13333,-23.577425902191838,-70.39088830554033,141,876719321.9543179
13333,-23.57825643751369,-70.3908179141315,142,883020961.4048644
13333,-23.57900253262441,-70.39075685139875,143,889322455.360661
13333,-23.579578125684478,-70.39073636902776,144,895623818.4342897
13333,-23.581437304605448,-70.39056185771682,145,901925070.6032268
13333,-23.583088943696886,-70.39042635778702,146,908226166.1231765
13333,-23.584803236225767,-70.39029845113191,147,914526968.8188853
13333,-23.586553851441934,-70.39009923097422,148,920827501.0911617
13333,-23.58822916287966,-70.38999451467907,149,927127749.5710595
13333,-23.589982638133957,-70.3898669016225,150,933427717.3801292
13333,-23.5915601662867,-70.38974095612531,151,939727411.8280385
13333,-23.591925589463703,-70.3897289985224,152,946026830.9819447
13333,-23.593610806752228,-70.38970457016978,153,952326054.5328308
13333,-23.59497164768249,-70.38969237858038,154,958625163.4331535
13333,-23.596318796171072,-70.38962909985406,155,964924026.6097808
13333,-23.59784534670427,-70.3895499293298,156,971222677.1336904
13333,-23.598360015443912,-70.38947397930639,157,977521105.4839163
13333,-23.59996646348958,-70.3893645273555,158,983819334.7577358
13333,-23.601685437077446,-70.3892281691152,159,990117427.3354934
13333,-23.602771416173116,-70.38917133126358,160,996415254.7800258
13333,-23.60367867133605,-70.38904111327065,161,1002712836.4801122
13333,-23.60463113027765,-70.38893480945984,162,1009010247.7861257
13333,-23.60627382022984,-70.38889345308803,163,1015307505.0627614
13333,-23.60784734659529,-70.38875678724469,164,1021604579.6045519
13333,-23.60843201655308,-70.38870643796912,165,1027901394.1430237
13333,-23.60872531282881,-70.38871269291627,166,1034198000.8664149
13333,-23.61027682024209,-70.38856104278614,167,1040494528.9735267
13333,-23.611459853619024,-70.38848210635553,168,1046790947.5335219
13333,-23.612030988819967,-70.38841111004024,169,1053087132.3654361
13333,-23.612932959580696,-70.38834290895682,170,1059383153.9101759
13333,-23.613590826315562,-70.38832302174183,171,1065679065.9352132
13333,-23.614254516279264,-70.38836314770145,172,1071974846.1281879
13333,-23.6162292547983,-70.38883947873359,173,1078270527.597503
13333,-23.618092851704727,-70.38924974916779,174,1084566088.2704444
13333,-23.619898157528045,-70.38965488100314,175,1090861402.3495069
13333,-23.621356590761362,-70.39009342810954,176,1097156481.3640351
13333,-23.62156673708094,-70.39024896153182,177,1103451348.8072257
13333,-23.62190098977223,-70.3910737381957,178,1109746076.874371
13333,-23.622298417816555,-70.39189941291477,179,1116040834.8165762
13333,-23.62251017813693,-70.39234698154382,180,1122335634.9547324
13333,-23.62279272660569,-70.39259280525368,181,1128630450.5034819
13333,-23.623297929736896,-70.39255746089748,182,1134925267.8716848
13333,-23.623806574203897,-70.39258673739818,183,1141220040.437257
13333,-23.62436822903918,-70.39260187204496,184,1147514736.2653499
13333,-23.624729707458357,-70.39268787714468,185,1153809354.4337485
13333,-23.62536337503068,-70.39302822756196,186,1160103902.2735744
13333,-23.625958996430523,-70.39362274335303,187,1166398411.92272
13333,-23.626293210910923,-70.39401251523287,188,1172692884.6078422
13333,-23.626655487873045,-70.39421455689194,189,1178987331.5071547
13333,-23.62679678631472,-70.39424186216547,190,1185281757.6415796
13333,-23.62746253575475,-70.3941604498566,191,1191576148.4917915
13333,-23.627822050487765,-70.39415200833866,192,1197870490.4953763
13333,-23.628736267239194,-70.3940909939057,193,1204164739.718699
13333,-23.629345597642324,-70.39409686352718,194,1210458905.4152403
13333,-23.630813922947777,-70.3939752828482,195,1216752942.2161725
13333,-23.63180459621255,-70.39399376644423,196,1223046840.4483743
13333,-23.633098734769828,-70.3938960935597,197,1229340530.8063376
13333,-23.634108086392008,-70.39383098778399,198,1235634050.3544793
13333,-23.634707758400832,-70.39380428218658,199,1241927375.2853298
13333,-23.63576302318896,-70.39375728736923,200,1248220558.6904194
13333,-23.63580059449098,-70.39488298047348,201,1254513626.3491554
13333,-23.63580711703033,-70.3955996268657,202,1260806656.9961226
13333,-23.6359998399217,-70.39585362256673,203,1267099784.066596
13333,-23.63691269277292,-70.39587633493568,204,1273392951.5006862
13333,-23.63800520002003,-70.39573909589967,205,1279686071.215898
13333,-23.63840521744213,-70.39573196550782,206,1285979034.5857925
13333,-23.638731805882788,-70.39574983350093,207,1292271854.1669075
13333,-23.640495499798845,-70.39626099171448,208,1298564616.7493246
13333,-23.641823166324436,-70.39666695564199,209,1304857306.3320518
13333,-23.642546583910097,-70.39698289487148,210,1311149796.6706378
13333,-23.64315895593787,-70.39740804798538,211,1317442150.4887946
13333,-23.64353669900078,-70.39779478910538,212,1323734443.252163
13333,-23.643954198660566,-70.39822223384726,213,1330026699.0612447
13333,-23.644450617062613,-70.3987356220589,214,1336318943.4034472
13333,-23.64460084857629,-70.3988782298955,215,1342611176.5893607
13333,-23.644796802465358,-70.3987498828426,216,1348903381.1277602
13333,-23.64512339162846,-70.3984290152103,217,1355195557.402963
13333,-23.645606742094074,-70.39797980052504,218,1361487669.0527089
13333,-23.646196197596748,-70.39863142060415,219,1367779677.3212135
13333,-23.647038838626628,-70.3996002170793,220,1374071635.9003203
13333,-23.64770015485763,-70.40054319039194,221,1380363592.6725273
13333,-23.648477425289094,-70.40140731700546,222,1386655539.1677556
13333,-23.649556753697,-70.4014576701461,223,1392947483.4916031
13333,-23.64981639136563,-70.40151603447424,224,1399239336.7343535
13333,-23.65002544236408,-70.40138865224384,225,1405531066.4779823
13333,-23.650734066160517,-70.40078917490553,226,1411822751.8216457
13333,-23.651570094853916,-70.40000483180438,227,1418114334.3169892
13333,-23.652327741242498,-70.39927753183787,228,1424405719.7328036
13333,-23.653046194971463,-70.40016170042463,229,1430696893.685228
13333,-23.65373851937705,-70.40103160822764,230,1436987987.4612577
13333,-23.654241431977763,-70.40164482192495,231,1443279074.319801
13333,-23.656102844911068,-70.40172325623507,232,1449570145.7399423
