vehicleId,time,timeProcessed,latitude,longitude,speed,heading,assignmentId,assignmentType
18003,2018-05-30 16:30:45 GMT-04:00,2018-05-30 16:30:51 GMT-04:00,-23.5648,-70.391,2,179,195_0_9,TRIP_ID
18003,2018-05-30 16:31:16 GMT-04:00,2018-05-30 16:31:18 GMT-04:00,-23.5651,-70.391,0,0,195_0_9,TRIP_ID
18003,2018-05-30 16:31:45 GMT-04:00,2018-05-30 16:31:51 GMT-04:00,-23.5651,-70.391,0,0,195_0_9,TRIP_ID
18003,2018-05-30 16:32:15 GMT-04:00,2018-05-30 16:32:19 GMT-04:00,-23.5665,-70.3909,32,178,195_0_9,TRIP_ID
18003,2018-05-30 16:32:45 GMT-04:00,2018-05-30 16:32:52 GMT-04:00,-23.5682,-70.3909,14,177,195_0_9,TRIP_ID
18003,2018-05-30 16:33:15 GMT-04:00,2018-05-30 16:33:19 GMT-04:00,-23.57,-70.3908,39,177,195_0_9,TRIP_ID
18003,2018-05-30 16:33:45 GMT-04:00,2018-05-30 16:33:53 GMT-04:00,-23.5732,-70.3912,28,183,195_0_9,TRIP_ID
18003,2018-05-30 16:34:15 GMT-04:00,2018-05-30 16:34:22 GMT-04:00,-23.5755,-70.3911,17,176,195_0_9,TRIP_ID
18003,2018-05-30 16:34:45 GMT-04:00,2018-05-30 16:34:51 GMT-04:00,-23.5757,-70.391,19,175,195_0_9,TRIP_ID
18003,2018-05-30 16:35:15 GMT-04:00,2018-05-30 16:35:22 GMT-04:00,-23.577,-70.3909,20,175,195_0_9,TRIP_ID
18003,2018-05-30 16:35:45 GMT-04:00,2018-05-30 16:35:53 GMT-04:00,-23.5773,-70.3909,14,176,195_0_9,TRIP_ID
18003,2018-05-30 16:35:45 GMT-04:00,2018-05-30 16:36:49 GMT-04:00,-23.5773,-70.3909,14,176,195_0_9,TRIP_ID
18003,2018-05-30 16:36:15 GMT-04:00,2018-05-30 16:36:49 GMT-04:00,-23.5781,-70.3909,2,173,195_0_9,TRIP_ID
18003,2018-05-30 16:36:45 GMT-04:00,2018-05-30 16:36:50 GMT-04:00,-23.5785,-70.3908,32,176,195_0_9,TRIP_ID
